STAT,182,2017 SPRING,3.52
STAT,201,2023,FALL,HERNANDEZ,2.449,507,18,31,31,13,5,0,8,0,0,0
STAT,201,2023,FALL,MAHAT S,2.788,506,25,43,27,7,2,0,6,0,0,0
STAT,201,2023,FALL,HERNANDEZ,2.684,505,20,38,27,7,3,2,10,0,0,0
STAT,201,2023,FALL,YI S,2.583,504,21,25,23,12,3,0,22,0,0,0
STAT,201,2023,FALL,CAHILL M,2.480,503,20,34,25,11,8,0,12,0,0,0
STAT,201,2023,FALL,JAMES C,2.681,501,28,24,26,8,5,3,14,0,0,0
STAT,201,2023,SUMMER,CHAKRABARTI A (H),3.212,299,16,32,3,1,0,0,2,0,0,0
STAT,201,2023,SUMMER,ROITERCHTEIN A,2.917,199,17,38,13,2,2,1,1,0,0,0
STAT,201,2023,SPRING,YI S,2.845,509,31,43,26,8,2,0,13,0,0,0
STAT,201,2023,SPRING,HERNANDEZ,3.128,508,42,31,15,3,3,0,16,0,0,0
STAT,201,2023,SPRING,HERNANDEZ,2.862,507,26,36,26,5,1,0,15,0,0,0
STAT,201,2023,SPRING,YI S,3.111,506,46,38,16,6,2,0,15,0,0,0
STAT,201,2023,SPRING,ROITERCHTEIN A,2.784,505,21,24,22,6,1,0,3,0,0,0
STAT,201,2023,SPRING,HERNANDEZ,2.727,504,22,24,23,4,4,0,23,0,0,0
STAT,201,2023,SPRING,GHOSH P,2.952,502,40,32,21,9,2,0,18,0,0,0
STAT,201,2023,SPRING,GHOSH P,2.899,501,30,46,28,2,3,0,13,0,0,0
STAT,201,2022,FALL,GHOSH P,3.160,509,14,30,6,0,0,0,10,0,0,0
STAT,201,2022,FALL,GHOSH P,3.124,508,41,37,26,1,0,1,17,0,0,0
STAT,201,2022,FALL,HERNANDEZ,2.847,507,28,26,24,4,3,0,9,0,0,0
STAT,201,2022,FALL,GHOSH P,2.924,506,24,55,23,0,3,0,18,0,0,0
STAT,201,2022,FALL,HERNANDEZ,2.969,505,29,36,30,1,0,1,15,0,0,0
STAT,201,2022,FALL,JAMES C,2.923,504,32,40,26,4,2,0,18,0,0,0
STAT,201,2022,FALL,CURRANS S,3.136,503,38,41,24,0,0,1,18,0,0,0
STAT,201,2022,SUMMER,GARG J (H),3.117,201,22,25,11,2,0,0,0,0,0,0
STAT,201,2022,SUMMER,LEE R,3.588,101,11,5,1,0,0,0,0,0,0,0
STAT,201,2022,SPRING,PANTOJA K,3.193,509,50,30,29,0,0,0,8,0,0,0
STAT,201,2022,SPRING,HERNANDEZ,2.970,508,34,41,19,3,4,0,9,0,0,0
STAT,201,2022,SPRING,HERNANDEZ,3.067,507,38,26,22,2,2,1,5,0,0,0
STAT,201,2022,SPRING,GHOSH P,3.044,506,47,32,28,4,2,0,6,0,0,0
STAT,201,2022,SPRING,CURRANS S,3.010,505,39,29,23,3,3,0,5,0,0,0
STAT,201,2022,SPRING,HERNANDEZ,2.935,504,20,24,14,2,2,0,8,0,0,0
STAT,201,2022,SPRING,GHOSH P,3.055,502,44,37,21,7,1,0,9,0,0,0
STAT,201,2022,SPRING,GHOSH P,3.096,501,50,33,23,8,0,0,6,0,0,0
STAT,201,2021,FALL,GHOSH P,3.828,509,50,6,2,0,0,0,1,0,0,0
STAT,201,2021,FALL,GHOSH P,3.704,508,89,20,5,0,1,0,3,0,0,0
STAT,201,2021,FALL,HERNANDEZ,2.960,507,36,30,30,2,2,0,7,0,0,0
STAT,201,2021,FALL,ROY CHOWDHURY A,3.133,506,28,32,12,3,0,0,16,0,0,0
STAT,201,2021,FALL,HERNANDEZ,2.978,505,33,31,22,5,1,0,12,0,0,0
STAT,201,2021,FALL,GHOSH P,3.696,504,91,17,4,2,1,0,5,0,0,0
STAT,201,2021,FALL,CURRANS S,3.029,503,33,44,22,1,2,0,7,0,0,3
STAT,201,2021,SUMMER,WANG J (H),2.941,201,9,19,3,1,2,0,1,0,0,0
STAT,201,2021,SUMMER,PLUMMER S,2.871,101,24,21,20,2,3,0,4,0,0,0
STAT,201,2021,SPRING,HERNANDEZ,3.129,509,35,42,12,1,3,0,5,0,0,0
STAT,201,2021,SPRING,ROITERCHTEIN A,3.109,508,37,32,19,4,0,0,7,0,0,0
